ID,Name,Brand,Category,Price,DiscountPrice,Image_URL
33,"Gree AC 18aith24w-t3 1.5 Ton Airy Pro T3 Inverter AC","GREE","Air Conditioners",50000,47500,"/images/gree-gree-ac-18aith24w-t3-1-5-ton-airy-pro-t3-inverter-ac.png"
34,"Gree AC 18pith15g-t3 1.5 Ton Pular T3 Inverter AC","GREE","Air Conditioners",50000,47500,"/images/gree-gree-ac-18pith15g-t3-1-5-ton-pular-t3-inverter-ac.png"
35,"Gree AC 24pith15w-t3 2 Ton Pular T3 Inverter Split AC","GREE","Air Conditioners",50000,47500,"/images/gree-gree-ac-24pith15w-t3-2-ton-pular-t3-inverter-split-ac.png"
36,"Gree Gs-24aith21w-t3/21b-t3 2.0 Ton Inverter Split AC","GREE","Air Conditioners",50000,47500,"/images/gree-gree-gs-24aith21w-t3-21b-t3-2-0-ton-inverter-split-ac.png"
19,"Gree Split AC 1 Ton Pular Series (inverter)","GREE","Air Conditioners",50000,47500,"/images/gree-gree-split-ac-1-ton-pular-series-inverter.png"
20,"Gree Split AC 2 Ton (inverter) Fairy Series","GREE","Air Conditioners",50000,47500,"/images/gree-gree-split-ac-2-ton-inverter-fairy-series.png"
137,"Haier - Washing Machine Automatic Single Tub Top Load 10kg - HWM 100-316s6","Haier","Air Conditioners",50000,47500,"/images/haier-haier-washing-machine-automatic-single-tub-top-load-10kg-hwm-100-316s6.png"
138,"Haier - Washing Machine Semi Auto Single Tub Top Load 12kg - HWM 120-35","Haier","Air Conditioners",50000,47500,"/images/haier-haier-washing-machine-semi-auto-single-tub-top-load-12kg-hwm-120-35.png"
139,"Haier - Washing Machine Semi Auto Single Tub Top Load 13kg - HWM 130-1217 Gb","Haier","Air Conditioners",50000,47500,"/images/haier-haier-washing-machine-semi-auto-single-tub-top-load-13kg-hwm-130-1217-gb.png"
140,"Haier - Washing Machine Semi Auto Twin Tub Top Load 8kg - HWM 80-186","Haier","Air Conditioners",50000,47500,"/images/haier-haier-washing-machine-semi-auto-twin-tub-top-load-8kg-hwm-80-186.png"
41,"Haier 1.5 Ton DC Inverter AC 19lf Supreme","HAIER","Air Conditioners",50000,47500,"/images/haier-haier-1-5-ton-dc-inverter-ac-19lf-supreme.png"
37,"Haier 1.5ton T3 Inverter AC Hsu 20hftex","HAIER","Air Conditioners",50000,47500,"/images/haier-haier-1-5ton-t3-inverter-ac-hsu-20hftex.png"
357,"Haier 10.5kg Washer/dryer Front Load Washing Machine Wifi HWD 105-b14959-s8u1/on Installment","Haier","Air Conditioners",185000,175750,"/images/haier-haier-10-5kg-washer-dryer-front-load-washing-machine-wifi-hwd-105-b14959-s8u1-on-installment.png"
42,"Haier 12cf 1 Ton Non-inverter Air Conditioner","HAIER","Air Conditioners",50000,47500,"/images/haier-haier-12cf-1-ton-non-inverter-air-conditioner.png"
38,"Haier 2 Ton T3 Inverter AC 24hfab Grey","HAIER","Air Conditioners",50000,47500,"/images/haier-haier-2-ton-t3-inverter-ac-24hfab-grey.png"
44,"Haier 24cf-2 Ton Turbo Cool Non-inverter Air Conditioner","HAIER","Air Conditioners",50000,47500,"/images/haier-haier-24cf-2-ton-turbo-cool-non-inverter-air-conditioner.png"
358,"Haier 8kg Front Load Washing Machine HWM 80-bp12929-s3/on Installment","Haier","Air Conditioners",145000,137750,"/images/haier-haier-8kg-front-load-washing-machine-hwm-80-bp12929-s3-on-installment.png"
45,"Haier AC 1 Ton DC Inverter AC 13lf","HAIER","Air Conditioners",50000,47500,"/images/haier-haier-ac-1-ton-dc-inverter-ac-13lf.png"
46,"Haier AC 1.5 Ton Inverter T3 Compressor 20hftex","HAIER","Air Conditioners",50000,47500,"/images/haier-haier-ac-1-5-ton-inverter-t3-compressor-20hftex.png"
47,"Haier Air Conditioner 1.ton - 13 Hfab T3 Inverter","HAIER","Air Conditioners",50000,47500,"/images/haier-haier-air-conditioner-1-ton-13-hfab-t3-inverter.png"
39,"Haier DC Inverter AC T3 13hfs 1.0 Ton","HAIER","Air Conditioners",50000,47500,"/images/haier-haier-dc-inverter-ac-t3-13hfs-1-0-ton.png"
141,"Haier Fully Automatic Top Load Washing Machine 10 Kg (HWM 100-826)","Haier","Air Conditioners",50000,47500,"/images/haier-haier-fully-automatic-top-load-washing-machine-10-kg-hwm-100-826.png"
142,"Haier Fully Automatic Top Load Washing Machine 9 Kg (HWM 90-826 E )","Haier","Air Conditioners",50000,47500,"/images/haier-haier-fully-automatic-top-load-washing-machine-9-kg-hwm-90-826-e.png"
106,"Haier Grill Series Microwave Oven 28 Ltr Black (hmw-28100)","Haier","Air Conditioners",50000,47500,"/images/haier-haier-grill-series-microwave-oven-28-ltr-black-hmw-28100.png"
48,"Haier Hsu-19hfs-w T3 Pro Inverter 1.5 Ton","HAIER","Air Conditioners",50000,47500,"/images/haier-haier-hsu-19hfs-w-t3-pro-inverter-1-5-ton.png"
143,"Haier Semi Automatic Washing Machine 8 Kg Grey (HWM 80-60)","Haier","Air Conditioners",50000,47500,"/images/haier-haier-semi-automatic-washing-machine-8-kg-grey-hwm-80-60.png"
107,"Haier Solo Series Microwave Oven 20 Ltr Black (hmw-20mpb)","Haier","Air Conditioners",50000,47500,"/images/haier-haier-solo-series-microwave-oven-20-ltr-black-hmw-20mpb.png"
108,"Haier Solo Series Microwave Oven 25 Ltr Black (hgl-25mxp9)","Haier","Air Conditioners",50000,47500,"/images/haier-haier-solo-series-microwave-oven-25-ltr-black-hgl-25mxp9.png"
109,"Haier Solo Series Microwave Oven Black (hmn-62mx80)","Haier","Air Conditioners",50000,47500,"/images/haier-haier-solo-series-microwave-oven-black-hmn-62mx80.png"
49,"Haier Split AC 1.5 Ton 18cf","HAIER","Air Conditioners",50000,47500,"/images/haier-haier-split-ac-1-5-ton-18cf.png"
40,"Haier Split AC 24hfab T3 Pro White","HAIER","Air Conditioners",50000,47500,"/images/haier-haier-split-ac-24hfab-t3-pro-white.png"
144,"Haier Top Load 10.5 Kg Fully Automatic Washing Machine (hwm-110-b688s8)","Haier","Air Conditioners",50000,47500,"/images/haier-haier-top-load-10-5-kg-fully-automatic-washing-machine-hwm-110-b688s8.png"
145,"Haier Top Load Automatic Dryer Machine 6kg (HWM 60-50)","Haier","Air Conditioners",50000,47500,"/images/haier-haier-top-load-automatic-dryer-machine-6kg-hwm-60-50.png"
146,"Haier Top Load Fully Automatic Washing Machine 12 Kg (hwm-120-826 Gt)","Haier","Air Conditioners",50000,47500,"/images/haier-haier-top-load-fully-automatic-washing-machine-12-kg-hwm-120-826-gt.png"
147,"Haier Top Load Fully Automatic Washing Machine 13 Kg (hwm130-688s8)","Haier","Air Conditioners",50000,47500,"/images/haier-haier-top-load-fully-automatic-washing-machine-13-kg-hwm130-688s8.png"
148,"Haier Top Load Fully Automatic Washing Machine 8.5kg (hwm-85-1269s6)","Haier","Air Conditioners",50000,47500,"/images/haier-haier-top-load-fully-automatic-washing-machine-8-5kg-hwm-85-1269s6.png"
149,"Haier Top Load Semi Auto Washing Machine 8-kg (HWM 80-1217)","Haier","Air Conditioners",50000,47500,"/images/haier-haier-top-load-semi-auto-washing-machine-8-kg-hwm-80-1217.png"
150,"Haier Top Load Semi Automatic Washing Machine 7.5 Kg (hwm-75as)","Haier","Air Conditioners",50000,47500,"/images/haier-haier-top-load-semi-automatic-washing-machine-7-5-kg-hwm-75as.png"
