S_No,Brand,Category,Model_Name,SKU,Rate,Image_URL,Image_Status,Match_Notes
"37","WestPoint","Kitchen Appliance","WestPoint 1851","","","","STILL_UNVERIFIED","Model truly not found on official site https://www.westpoint.pk"
"38","WestPoint","Kitchen Appliance","WestPoint 2020","","","","STILL_UNVERIFIED","Model truly not found on official site https://www.westpoint.pk"
"39","WestPoint","Kitchen Appliance","WestPoint 2023","","","","STILL_UNVERIFIED","Model truly not found on official site https://www.westpoint.pk"
"40","WestPoint","Kitchen Appliance","WestPoint 2024","","","","STILL_UNVERIFIED","Model truly not found on official site https://www.westpoint.pk"
"41","WestPoint","Kitchen Appliance","WestPoint 2063","","","","STILL_UNVERIFIED","Model truly not found on official site https://www.westpoint.pk"
"42","WestPoint","Kitchen Appliance","WestPoint 2064","","","","STILL_UNVERIFIED","Model truly not found on official site https://www.westpoint.pk"
"43","WestPoint","Kitchen Appliance","WestPoint 2065","","","","STILL_UNVERIFIED","Model truly not found on official site https://www.westpoint.pk"
"44","WestPoint","Kitchen Appliance","WestPoint 3117","","","","STILL_UNVERIFIED","Model truly not found on official site https://www.westpoint.pk"
"45","WestPoint","Kitchen Appliance","WestPoint 3119","","","","STILL_UNVERIFIED","Model truly not found on official site https://www.westpoint.pk"
"46","WestPoint","Kitchen Appliance","WestPoint 6172","","","","STILL_UNVERIFIED","Model truly not found on official site https://www.westpoint.pk"
"47","WestPoint","Kitchen Appliance","WestPoint 6174","","","","STILL_UNVERIFIED","Model truly not found on official site https://www.westpoint.pk"
"48","WestPoint","Kitchen Appliance","WestPoint 6175","","","","STILL_UNVERIFIED","Model truly not found on official site https://www.westpoint.pk"
"49","WestPoint","Kitchen Appliance","WestPoint 6178","","","","STILL_UNVERIFIED","Model truly not found on official site https://www.westpoint.pk"
"50","WestPoint","Kitchen Appliance","WestPoint 6807","","","","STILL_UNVERIFIED","Model truly not found on official site https://www.westpoint.pk"
"51","WestPoint","Kitchen Appliance","WestPoint 6809","","","","STILL_UNVERIFIED","Model truly not found on official site https://www.westpoint.pk"
"52","Kenwood","AC","KEA-2441 FLOOR",""," 225,000 ","","STILL_UNVERIFIED","Model truly not found on official site https://www.kenwoodpakistan.pk"
"53","Kenwood","AC","KEA-4841 FLOOR",""," 380,000 ","","STILL_UNVERIFIED","Model truly not found on official site https://www.kenwoodpakistan.pk"
"54","Kenwood","AC","KEA-4846 E-BREEZE",""," 515,000 ","","STILL_UNVERIFIED","Model truly not found on official site https://www.kenwoodpakistan.pk"
"55","Kenwood","AC","KEI-2444 FLOOR (ROUND)",""," 330,000 ","","STILL_UNVERIFIED","Model truly not found on official site https://www.kenwoodpakistan.pk"
"56","Kenwood","AC","KEI-2446 FLOOR",""," 260,000 ","","STILL_UNVERIFIED","Model truly not found on official site https://www.kenwoodpakistan.pk"
"57","Kenwood","AC","KEI-2447 FLOOR (ROUND)",""," 330,000 ","","STILL_UNVERIFIED","Model truly not found on official site https://www.kenwoodpakistan.pk"
"58","Kenwood","Washing Machine","KWM-899 WASHER",""," 18,500 ","","STILL_UNVERIFIED","Model truly not found on official site https://www.kenwoodpakistan.pk"
"59","Kenwood","Washing Machine","KWS- 1050 SPINNER",""," 18,500 ","","STILL_UNVERIFIED","Model truly not found on official site https://www.kenwoodpakistan.pk"
"60","Kenwood","AC","KEA-2441 FLOOR",""," 225,000 ","","STILL_UNVERIFIED","Model truly not found on official site https://www.kenwoodpakistan.pk"
"61","Kenwood","AC","KEA-4841 FLOOR",""," 380,000 ","","STILL_UNVERIFIED","Model truly not found on official site https://www.kenwoodpakistan.pk"
"62","Kenwood","AC","KEA-4846 E-BREEZE",""," 515,000 ","","STILL_UNVERIFIED","Model truly not found on official site https://www.kenwoodpakistan.pk"
"63","Kenwood","AC","KEI-2444 FLOOR (ROUND)",""," 330,000 ","","STILL_UNVERIFIED","Model truly not found on official site https://www.kenwoodpakistan.pk"
"64","Kenwood","AC","KEI-2446 FLOOR",""," 260,000 ","","STILL_UNVERIFIED","Model truly not found on official site https://www.kenwoodpakistan.pk"
"65","Kenwood","AC","KEI-2447 FLOOR (ROUND)",""," 330,000 ","","STILL_UNVERIFIED","Model truly not found on official site https://www.kenwoodpakistan.pk"
"66","Kenwood","AC","KEN 1276 E-Nova",""," 95,000 ","","STILL_UNVERIFIED","Model truly not found on official site https://www.kenwoodpakistan.pk"
"67","Kenwood","AC","KEN 1876 E-Nova",""," 118,000 ","","STILL_UNVERIFIED","Model truly not found on official site https://www.kenwoodpakistan.pk"
"68","Kenwood","AC","KEN 2476 E-Nova",""," 169,000 ","","STILL_UNVERIFIED","Model truly not found on official site https://www.kenwoodpakistan.pk"
"69","PEL","Microwave","PMO-23 SLM",""," 23,300 ","","STILL_UNVERIFIED","Model truly not found on official site https://pel.com.pk"
"70","PEL","Microwave","PMO-26 DESIRE",""," 29,300 ","","STILL_UNVERIFIED","Model truly not found on official site https://pel.com.pk"
"71","Super Asia","Washing Machine","SA 240 Shower wash",""," -   ","","STILL_UNVERIFIED","Model truly not found on official site https://superasiastore.com"
"72","Super Asia","Washing Machine","SD-525",""," -   ","","STILL_UNVERIFIED","Model truly not found on official site https://superasiastore.com"
"73","Super Asia","Washing Machine","SA 240 Shower wash",""," -   ","","STILL_UNVERIFIED","Model truly not found on official site https://superasiastore.com"
"74","Haier","Washing Machine","HWM-120 AS MG",""," 41,500 ","","STILL_UNVERIFIED","Model truly not found on official site https://www.haier.com/pk"
"75","Haier","Washing Machine","HWM-120-826 E",""," 60,500 ","","STILL_UNVERIFIED","Model truly not found on official site https://www.haier.com/pk"
"76","Haier","Washing Machine","HWM-49102 GD",""," 27,500 ","","STILL_UNVERIFIED","Model truly not found on official site https://www.haier.com/pk"
