S_No,Brand,Category,Model_Name,MRP_Price,Image_URL,Image_Status,Match_Notes
"1","Haier","Refrigerators","HR-66 B","","NOT_FOUND","Core model number 66 not listed on qistbazaar.pk or pak-electronics.pk"
"2","Haier","Refrigerators","HR-136 B","","NOT_FOUND","Core model number 136 not listed on qistbazaar.pk or pak-electronics.pk"
"3","Haier","Refrigerators","HRF-186 EBS/EBD","","NOT_FOUND","Core model number 186 not listed on qistbazaar.pk or pak-electronics.pk"
"4","Haier","Refrigerators","HRF-418 IPRA/IPGA/IPPA","","NOT_FOUND","Core model number 418 not listed on qistbazaar.pk or pak-electronics.pk"
"5","Haier","Refrigerators","HRF-458 IPRA/IPGA/IPPA","","NOT_FOUND","Core model number 458 not listed on qistbazaar.pk or pak-electronics.pk"
"6","Haier","Refrigerators","HRF-418 IDGA/IDRGA","","NOT_FOUND","Core model number 418 not listed on qistbazaar.pk or pak-electronics.pk"
"7","Haier","Refrigerators","HRF-458 IDGA/IDRGA","","NOT_FOUND","Core model number 458 not listed on qistbazaar.pk or pak-electronics.pk"
"8","Haier","Refrigerators","HRF-418 IAPA+/IARA","","NOT_FOUND","Core model number 418 not listed on qistbazaar.pk or pak-electronics.pk"
"9","Haier","Refrigerators","HRF-458 IAPA+/IARA","","NOT_FOUND","Core model number 458 not listed on qistbazaar.pk or pak-electronics.pk"
"10","Haier","Refrigerators","HRF-418 IFGA/IFRA/IFPA","","NOT_FOUND","Core model number 418 not listed on qistbazaar.pk or pak-electronics.pk"
"11","Haier","Refrigerators","HRF-458 IFGA/IFRA/IFPA","","NOT_FOUND","Core model number 458 not listed on qistbazaar.pk or pak-electronics.pk"
"12","Haier","Refrigerators","HRF-418 TIFG1U1/TIFB1U1 (IOT)","","NOT_FOUND","Core model number 418 not listed on qistbazaar.pk or pak-electronics.pk"
"13","Haier","Refrigerators","HRF-458 TIFG1U1/TIFB1U1 (IOT)","","NOT_FOUND","Core model number 458 not listed on qistbazaar.pk or pak-electronics.pk"
"14","Haier","Refrigerators","HRF-488 IFFB","","NOT_FOUND","Core model number 488 not listed on qistbazaar.pk or pak-electronics.pk"
"15","Haier","Refrigerators","HRF-518 IFFB","","NOT_FOUND","Core model number 518 not listed on qistbazaar.pk or pak-electronics.pk"
"16","Haier","Refrigerators","HRF-518 WIFFBGU1","","NOT_FOUND","Core model number 518 not listed on qistbazaar.pk or pak-electronics.pk"
"17","Haier","Refrigerators","HRF-622 IBS","","NOT_FOUND","Core model number 622 not listed on qistbazaar.pk or pak-electronics.pk"
"18","Haier","Refrigerators","HRF-622 ICG","","NOT_FOUND","Core model number 622 not listed on qistbazaar.pk or pak-electronics.pk"
"19","Haier","Refrigerators","HRF-622 IBG","","NOT_FOUND","Core model number 622 not listed on qistbazaar.pk or pak-electronics.pk"
"20","Haier","Refrigerators","HRF-578 TSG","","NOT_FOUND","Core model number 578 not listed on qistbazaar.pk or pak-electronics.pk"
"21","Haier","Refrigerators","HRF-578 TBG","","NOT_FOUND","Core model number 578 not listed on qistbazaar.pk or pak-electronics.pk"
"22","Haier","Refrigerators","HRF-578 TBGU1 (IOT)","","NOT_FOUND","Core model number 578 not listed on qistbazaar.pk or pak-electronics.pk"
"23","Haier","Refrigerators","HRF-578 TGGU1 (IOT)","","NOT_FOUND","Core model number 578 not listed on qistbazaar.pk or pak-electronics.pk"
"24","Haier","Refrigerators","HRF-678 TGG","","NOT_FOUND","Core model number 678 not listed on qistbazaar.pk or pak-electronics.pk"
