Product_ID,Brand,Model_Name,Category,Image_URL
1194,"Orient","Orient Everest 18w Geo White 1.5 Ton DC Inverter AC","Air Conditioners","https://www.orient.com.pk/assets/products-images-2026/air-conditioners/15-ton-everest-geo-white-dc-inverter.png.webp"
1195,"Orient","Orient Infinity 18x Silver Matt T3+ Inverter AC","Air Conditioners","https://www.orient.com.pk/assets/products-images-2026/air-conditioners/15-ton-megatron-infinity-ecomfort-dc-inverter.png.webp"
1197,"Dawlance","Dawlance 1.5 Ton 30 Infinity Pro Inverter AC","Air Conditioners","https://cdn.comverseglobal.com/alfa/products/product_images/30-infinity-pro_160226140327522124.png"
1198,"Dawlance","Dawlance Aura X 30 1.5 Ton Inverter Split AC","Air Conditioners","https://cdn.comverseglobal.com/alfa/products/product_images/aurax1ton-2_1_220526180727264429.jpg"
1199,"EcoStar","EcoStar 18t3pro 1.5 Ton Inverter Split AC","Air Conditioners","https://www.surmawala.pk/cdn/shop/files/t3-new.png?v=1754727601"
1201,"Gree","Gree GS-18FITH1W 1.5 Ton Inverter Split AC","Air Conditioners","https://hadielectronics.com.pk/wp-content/uploads/2026/02/GS-18FITH1W.webp"
